id,planning_area_name,inhabitants,z_s1_percentage_unemployed,z_s2_percentage_long_term_unemployed,z_s3_percentage_transfer_payments_recipients,z_s4_percentage_transfer_payments_recipients_below_15_years,z_d1_percentage_unemployed,z_d2_percentage_long_term_unemployed,z_d3_percentage_transfer_payments_recipients,z_d4_percentage_transfer_payments_recipients_below_15_years
02100106,Wassertorplatz,5009,2.48031,,2.60566,2.23245,7.31842,2.47623,sehr niedrig,2.29511
02200207,Gleisdreieck,2067,-1.34957,,-1.11274,-1.10326,-3.56557,-1.20643,hoch,-1.06929
02200208,Rathaus Yorckstraße,6008,0.17796,,0.2072,-0.01118,0.37398,0.12654,mittel,0.03617
02200209,Viktoriapark,10969,-0.29241,,-0.35782,-0.50582,-1.15605,-0.39116,mittel,-0.31471
02200210,Urbanstraße,12384,-0.11311,,-0.11198,-0.30707,-0.53216,-0.18006,mittel,0.13497
02200211,Chamissokiez,14760,-0.12058,,-0.15087,-0.43168,-0.70313,-0.23791,mittel,0.18832
02200212,Graefekiez Süd,8602,1.01558,,0.90703,0.62061,2.54322,0.86051,mittel,1.52622
02200213,Graefekiez Nord,10284,-0.04645,,0.06901,-0.40616,-0.3836,-0.12979,mittel,-0.01068
02300314,Oranienplatz,7587,1.78588,,1.51255,1.40447,4.7029,1.59125,sehr niedrig,2.13544
02300315,Lausitzer Platz,8723,1.15663,,1.23448,0.76251,3.15362,1.06705,niedrig,1.4935
02300316,Köpenicker Straße,4215,0.57223,,0.74402,0.44555,1.7618,0.59612,mittel,-0.14681
02300417,Reichenberger Straße West,8433,0.91543,,0.82369,0.52231,2.26143,0.76517,mittel,0.93244
02300418,Reichenberger Straße Ost,7710,0.58509,,0.35984,-0.04327,0.90166,0.30508,mittel,0.90791
02300419,Wrangelkiez,10903,0.42547,,0.28608,0.0006,0.71215,0.24096,mittel,0.16219
02400520,Barnimkiez,5451,0.72535,,0.0152,0.52796,1.26851,0.42921,mittel,0.96673
02400521,Friedenstraße,7858,-0.20482,,-0.30936,-0.1682,-0.68238,-0.23089,mittel,0.46066
02400522,Richard-Sorge-Viertel,11262,-0.56844,,-0.61716,-0.68055,-1.86615,-0.63142,mittel,-0.47673
02400623,Andreasviertel,13307,0.27522,,0.34121,0.76272,1.37915,0.46664,mittel,0.15779
02400624,Weberwiese,11314,-0.45501,,-0.71139,-0.81609,-1.98249,-0.67079,mittel,0.09413
02400625,Wriezener Bahnhof,1136,0.35226,,0.95799,1.99057,3.30082,1.11685,niedrig,-0.46207
02500726,Hausburgviertel,9134,-0.08349,,-0.2496,-0.35324,-0.68633,-0.23222,mittel,-0.24911
02500727,Forckenbeckplatz,6623,-0.39187,,-0.34819,-0.61677,-1.35683,-0.45909,mittel,-0.75452
02500728,Samariterviertel,10109,-0.21241,,-0.51008,-0.80972,-1.53221,-0.51843,mittel,0.17315
